GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
plytix.pana,es.uma.informatica.sii.plytix.pana.dto,UsuarioDTO,104,53,22,0,3,17,16,7,5,7
plytix.pana,es.uma.informatica.sii.plytix.pana.dto,PlanDTO,28,55,0,0,14,20,7,10,7,10
plytix.pana,es.uma.informatica.sii.plytix.pana.dto,CuentaDTO,0,38,0,0,0,16,0,11,0,11
plytix.pana,es.uma.informatica.sii.plytix.pana.config,JwtUtil,91,3,0,0,21,1,7,1,7,1
plytix.pana,es.uma.informatica.sii.plytix.pana.config,JwtRequestFilter,108,24,10,2,23,9,6,2,0,2
plytix.pana,es.uma.informatica.sii.plytix.pana.config,SecurityConfig,10,52,0,0,2,13,2,8,2,8
plytix.pana,es.uma.informatica.sii.plytix.pana.entities,Cuenta,47,87,6,0,10,35,6,18,3,18
plytix.pana,es.uma.informatica.sii.plytix.pana.entities,Plan,55,109,10,0,6,44,8,22,3,22
plytix.pana,es.uma.informatica.sii.plytix.pana.Mapper,PlanMapper,3,22,0,0,1,2,1,1,1,1
plytix.pana,es.uma.informatica.sii.plytix.pana.Mapper,CuentaMapper,39,30,3,1,11,8,4,1,2,1
plytix.pana,es.uma.informatica.sii.plytix.pana.controller,CuentaController,63,163,7,15,14,45,7,14,1,9
plytix.pana,es.uma.informatica.sii.plytix.pana.controller,PlanController,1,108,0,2,1,31,1,6,1,5
plytix.pana,es.uma.informatica.sii.plytix.pana.excepciones,CuentaNotFoundException,0,5,0,0,0,2,0,1,0,1
plytix.pana,es.uma.informatica.sii.plytix.pana.excepciones,PlanNoEncontrado,0,4,0,0,0,2,0,1,0,1
plytix.pana,es.uma.informatica.sii.plytix.pana.excepciones,RelacionesAsociadasException,4,0,0,0,2,0,1,0,1,0
plytix.pana,es.uma.informatica.sii.plytix.pana.excepciones,CredencialesInvalidasException,4,0,0,0,2,0,1,0,1,0
plytix.pana,es.uma.informatica.sii.plytix.pana.excepciones,CuentasAsociadasException,4,0,0,0,2,0,1,0,1,0
plytix.pana,es.uma.informatica.sii.plytix.pana.excepciones,PlanNoExisteException,4,3,0,0,2,1,1,1,1,1
plytix.pana,es.uma.informatica.sii.plytix.pana.excepciones,AccesoDenegadoException,0,4,0,0,0,2,0,1,0,1
plytix.pana,es.uma.informatica.sii.plytix.pana.excepciones,PermisosInsuficientesException,4,0,0,0,2,0,1,0,1,0
plytix.pana,es.uma.informatica.sii.plytix.pana.excepciones,RecursosAsociadosException,4,0,0,0,2,0,1,0,1,0
plytix.pana,es.uma.informatica.sii.plytix.pana,CommandLineRunner,9,17,1,1,1,5,1,2,0,2
plytix.pana,es.uma.informatica.sii.plytix.pana,UsuarioServiceClient,80,0,8,0,17,0,7,0,3,0
plytix.pana,es.uma.informatica.sii.plytix.pana,Application,5,3,0,0,2,1,1,1,1,1
plytix.pana,es.uma.informatica.sii.plytix.pana.service,PlanService,49,80,11,7,12,24,9,6,1,5
plytix.pana,es.uma.informatica.sii.plytix.pana.service,CuentaService,93,228,16,14,18,54,16,15,4,12
